stock_code,mean,std,min,max
32,22.70219008264463,7.051885975731982,11.77,39.79
36,3.993615702479339,0.18835988482834895,3.37,4.52
430,6.996838842975206,0.8543820347743988,5.12,9.35
505,8.113533057851239,1.026962856704102,6.47,12.66
532,11.093760330578512,0.6047204857081384,9.16,13.3
543,4.630764462809918,0.9836527366464926,2.86,6.72
551,7.827314049586777,0.7096146976924053,5.23,9.73
559,4.865061983471074,0.35440294217945956,4.13,5.98
566,4.6463636363636365,0.33131459095254795,3.67,6.08
592,2.601528925619835,0.19499784250566968,2.2,3.24
598,4.816322314049587,0.3359404885401526,4.08,5.9
600,5.161466942148761,0.9205391102844596,3.38,7.91
612,5.405764462809917,0.6267511569437705,4.34,7.33
668,12.53210743801653,1.2263744563850598,10.42,16.16
752,5.055144628099174,1.7042587563647824,3.23,12.88
753,4.0975,0.4523174168088767,2.93,5.16
758,4.862768595041322,0.4029191876874541,3.83,6.21
762,38.07202479338843,9.80850752705461,21.68,62.46
776,14.9025826446281,1.6092230753376586,12.38,22.6
791,5.24896694214876,0.4195311478282431,4.3,6.86
859,5.811487603305785,0.6308946110072349,4.63,7.79
902,12.57349173553719,2.5634771929494757,9.39,18.57
917,5.616342975206612,0.7733032947324948,4.24,8.81
950,5.328739669421488,0.6775768713288003,4.39,7.79
962,10.806528925619833,1.3448330448112271,7.51,14.47
987,5.834028925619835,0.5108058902818853,4.47,7.37
1203,11.707169421487604,1.5686957184078827,9.06,16.5
1212,19.72022727272727,3.788950994362576,11.89,39.16
2014,6.2634297520661155,0.9935421987238774,4.08,7.63
2038,9.408140495867768,1.0859155971592807,7.56,15.57
2074,31.299028925619833,6.9373202390073025,19.55,49.49
2080,21.314545454545453,3.390976211762185,14.31,30.81
2128,12.013884297520661,1.027565312307335,10.16,16.29
2163,11.058429752066115,1.3665567849162963,8.08,14.84
2168,4.179979338842975,0.5538521223984577,2.85,6.69
2171,7.923202479338843,1.3052018367645803,6.05,12.2
2180,42.47731404958678,9.840926405694058,21.46,57.78
2191,7.945392561983471,2.9002370951173755,4.97,17.63
2201,11.84336776859504,2.932285413186006,6.79,19.18
2202,11.257210743801652,1.8400682623624258,7.24,15.62
2214,13.439380165289256,1.6657376794278909,9.34,19.51
2228,2.958367768595041,0.14167009278909112,2.59,3.35
2231,6.946983471074381,1.0820509969380723,4.54,10.68
2235,6.500247933884297,1.599415505459871,3.99,10.67
2245,15.33154958677686,5.008503274155417,7.97,26.98
2253,13.970206611570248,1.9953926119061836,9.62,21.05
2294,28.29111570247934,4.757770237686803,19.29,37.6
2303,2.6894628099173556,0.18735635121538363,2.08,3.33
2306,3.8741735537190083,0.5780057265462546,2.65,5.83
2320,5.481260330578512,0.5042180901140259,4.48,7.3
2324,14.442355371900828,2.0019454900383664,9.36,20.57
2326,23.091280991735537,8.273773351851974,10.77,49.94
2329,6.3548760330578515,1.1812509533660152,4.01,10.6
2345,4.861673553719009,1.2426035783976161,2.82,7.6
2361,4.017004132231405,0.40301851750103007,3.19,5.35
2371,197.42617768595042,21.590662780797587,153.93,259.05
2378,5.751115702479339,0.429023151393967,4.27,7.07
2394,7.0025619834710735,0.6244282239906697,5.59,8.47
2407,23.41,5.620936609177266,13.39,38.33
2414,8.940578512396694,1.2704877839412487,6.98,13.2
2418,3.147995867768595,0.2743498091639069,2.43,4.04
2428,11.759814049586776,1.5121561828920058,8.99,16.81
2448,6.137252066115702,0.6549177642620736,4.77,7.44
2466,79.87495867768595,19.980673762785212,48.73,143.65
2480,5.1762809917355375,0.48798208267586796,3.95,7.19
2484,20.814545454545453,3.1737269011470075,14.18,27.7
2497,22.943471074380163,5.926004272952714,11.88,35.78
2532,6.427314049586777,0.9006759691341278,4.88,8.86
2533,6.204504132231405,0.7890403283321086,4.13,7.88
2536,8.882107438016527,3.1659441206010848,3.61,17.45
2539,11.092479338842976,2.4124529516404434,7.19,17.62
2545,8.046797520661157,1.4683322014248905,6.07,13.26
2549,14.790681818181817,3.25857145693609,9.36,22.43
2569,6.718739669421487,0.8865348030012108,4.92,8.81
2571,6.5917355371900825,0.5972194753666924,4.64,8.89
2585,14.298181818181817,5.013664557799674,7.47,27.74
2596,3.258719008264463,0.48180046595672327,2.56,6.17
2624,13.32297520661157,2.2994398074216797,9.16,21.88
2631,5.878904958677686,0.47124283856056076,4.65,7.42
2636,9.081012396694215,1.2874548406525597,7.16,14.79
2643,16.929173553719007,1.701964076362588,12.83,23.16
2647,5.963801652892562,0.9122399853134656,4.4,9.39
2653,20.19931818181818,3.7296088735813173,12.26,27.57
2658,7.198801652892562,0.8257277422142668,4.33,9.12
2677,10.681425619834712,1.608035796498488,8.38,16.04
2709,41.66076446280992,9.171877647462289,20.86,65.75
2718,14.336838842975206,1.5417893555991433,10.03,17.27
2738,48.695805785123966,11.203095326650581,26.12,74.02
2752,4.889752066115702,0.4735972427489506,3.62,6.58
2759,18.268863636363633,5.381149691091081,9.87,30.74
2769,8.286673553719009,1.0057692218300969,5.63,11.43
2787,7.034132231404959,1.3203346206280298,4.6,10.31
2788,7.864297520661157,0.8905106604358798,5.79,9.49
2789,14.574380165289256,1.7927637581238072,9.63,25.33
2796,10.060185950413222,1.689681927793123,6.42,15.0
2810,28.644214876033057,11.841825128064958,15.03,56.73
2822,4.924359504132231,0.7055947690775844,3.87,7.47
2837,14.22051652892562,2.6077746360683167,6.66,20.26
2842,8.796363636363635,0.7402724583755635,7.04,12.02
2849,12.995123966942149,3.7480421645728703,7.21,22.15
2879,15.307252066115703,2.372840478483777,10.86,27.36
2884,15.163202479338842,2.331542170910725,11.95,23.25
2888,13.664876033057851,2.581481467772199,9.01,25.55
2909,8.27650826446281,1.9299794563142163,5.24,19.67
2915,17.40805785123967,2.7932555471191165,11.52,25.09
2937,20.968347107438017,3.88746189630317,9.82,29.18
2957,16.526652892561984,2.0202036353121082,10.54,23.95
2960,16.319276859504132,2.6252712950218093,10.56,22.7
2966,5.5056198347107435,0.5606361257777598,4.38,6.7
2969,3.938409090909091,0.567769372229084,3.28,5.97
2971,17.167644628099172,2.0545991004357704,12.4,22.93
2975,38.84603305785124,6.873910888093893,29.37,64.63
3021,44.01917355371901,11.122749082023729,17.39,67.18
3029,26.645144628099175,6.688385763383134,17.68,43.01
300004,5.963099173553719,0.49780709851156957,5.01,7.6
300006,4.158367768595041,0.6492371866333906,3.28,6.94
300014,72.96919421487603,19.573026416920875,36.65,116.48
300019,16.847128099173553,1.9864645019509137,12.26,24.1
300049,23.262871900826447,8.929818880250277,11.27,48.43
300054,22.253057851239667,2.402572325068401,15.24,29.75
300062,6.465165289256198,0.6051950505642392,4.71,9.1
300073,61.96690082644628,17.0814324479716,34.42,111.37
300086,6.642499999999999,0.9624649976158162,5.13,11.46
300093,30.583409090909093,10.784510485314923,12.49,57.68
300125,18.478202479338844,5.150306979163592,11.74,34.63
300128,3.9599173553719007,0.5878275206077715,2.72,5.91
300139,9.57444214876033,1.244526026153172,7.47,13.61
300174,16.483719008264462,2.6421846573489676,11.37,25.9
300179,11.302396694214876,2.466240053129012,7.9,18.8
300196,14.442210743801652,1.7656679476194865,10.07,19.27
300200,7.936714876033058,0.8079143670836364,5.67,10.39
300223,83.49121900826447,12.528254508782236,61.53,126.93
300228,6.35904958677686,0.9997906228113611,4.84,9.53
300236,34.336983471074376,4.012596572592941,25.17,42.59
300249,10.228202479338842,2.1923109261718485,6.45,20.18
300260,35.13698347107438,9.06524553423677,16.97,59.51
300272,5.342355371900826,0.6014559885490859,4.35,7.45
300300,4.430743801652892,0.5600675281516192,3.36,6.54
300316,60.52130165289257,9.785467494125609,38.55,82.46
300331,22.231983471074383,4.143894882204093,12.29,35.0
300360,12.403801652892561,2.9356343571005876,5.42,19.66
300390,41.727190082644626,12.090593504922241,22.19,72.45
300395,45.4900826446281,8.134564444978704,27.71,66.87
300400,15.771714876033059,1.9014515957878089,9.34,23.51
300409,15.899132231404959,4.39676213341602,9.75,26.58
300414,9.058264462809918,1.1115884426047336,6.52,11.85
300421,10.022169421487602,1.7663555853940263,5.59,17.63
300438,53.76349173553719,17.240107530358294,24.83,94.52
300440,7.171095041322314,0.6935343507789291,5.37,9.76
300444,5.8585123966942145,1.0522862115734195,4.04,8.75
300450,43.695867768595036,12.931166399935064,23.02,73.12
300456,18.790020661157026,3.446884601655412,12.3,26.32
300476,18.649896694214874,4.349484511669875,11.9,30.04
300490,14.098780991735538,2.2901951333974866,9.71,21.07
300499,13.316053719008265,2.902298140809019,7.59,25.72
300505,21.12952479338843,4.731239029585976,12.73,34.43
300506,4.863429752066116,0.49121159754664484,3.42,6.21
300509,6.0120661157024795,0.5836597144623988,4.51,7.36
300520,19.97237603305785,3.1546043668435577,13.56,29.0
300522,10.894690082644628,1.7083446720902702,7.59,15.78
300538,15.180227272727272,3.7025521596358337,10.18,26.97
300547,15.105661157024795,2.1642271766409555,9.38,20.65
300567,64.46262396694215,21.39727177166087,32.94,112.78
300586,11.80150826446281,2.7785950539889144,6.6,18.95
300602,16.436446280991735,2.629191945235831,9.52,24.8
300606,16.33904958677686,7.251610367709517,9.57,40.12
300622,15.569648760330578,1.5553272110775058,10.51,19.1
300626,9.065,0.7210291414182405,7.35,10.83
300637,7.86159090909091,1.1898285930104984,5.93,13.04
300656,30.03754132231405,3.6262132756990764,22.86,40.44
300684,15.9849173553719,3.477035545350655,8.66,30.61
300709,29.27564049586777,5.969983284488566,19.62,50.41
300724,97.60190082644628,24.56373086100909,44.82,160.4
300726,47.595185950413224,13.56710971470713,28.22,89.82
300727,20.82132231404959,2.88908266789722,14.48,34.72
300731,20.322210743801655,3.2247305036110405,13.37,35.39
300765,10.420929752066115,6.865810829539501,5.08,39.42
300786,16.753698347107438,2.141685777822913,11.27,22.76
300807,26.506404958677688,5.286749000967431,17.6,44.56
300816,29.542417355371903,7.072122694290138,20.58,57.33
300855,32.17853305785124,4.181068161357733,18.62,40.95
300868,18.889132231404957,2.7064097047056688,14.92,27.37
300870,51.803409090909085,10.934991195854524,29.72,86.89
300891,10.997768595041322,1.8390225991689029,8.69,16.55
300897,14.119938016528925,1.4591989195559745,11.35,18.59
300910,45.75452479338843,15.288174525168573,16.78,82.65
300937,31.721012396694213,3.9683711225521296,22.98,47.68
300973,80.62834710743802,17.50907811136584,44.11,126.13
300990,43.284793388429755,11.591209069829352,16.98,71.24
300992,20.903822314049588,2.2380691862961024,17.18,29.31
301005,19.44254132231405,2.5996240268747832,13.78,25.87
301013,12.81142561983471,2.4353440101702843,8.08,19.0
301017,18.833078512396693,1.883139922835879,14.74,25.18
301018,32.77493801652893,7.72247609618777,17.83,52.22
301019,14.592231404958678,1.289924155636004,12.48,18.85
301021,28.58797520661157,5.490424304069895,20.08,59.8
301026,26.136838842975205,6.253718440593808,16.82,44.97
301056,8.209111570247934,1.054872082140539,6.35,11.0
301071,62.74555785123967,23.46047792194008,29.39,128.6
301075,27.880557851239672,4.33916015702139,20.36,49.66
301086,41.88353305785124,4.604309588605523,29.36,55.35
301088,16.655061983471075,1.9760018284312812,13.66,24.71
301093,25.197561983471076,4.115798608357297,18.69,39.33
301128,23.723119834710744,5.639241279937686,15.76,42.51
301169,44.168264462809915,10.074606429247833,26.28,79.15
301182,23.34555785123967,3.423919015877577,18.31,37.19
301193,18.829235537190083,2.6449613088587443,13.11,26.37
600011,7.501157024793389,0.8680526647089534,5.53,9.82
600027,4.575227272727273,1.0329343466015795,2.45,6.55
600076,2.9996900826446278,0.3157201289411667,2.42,3.93
600113,7.118202479338843,0.7097588546788857,5.52,10.69
600176,13.309669421487603,1.4735129691325186,8.85,16.74
600179,3.376590909090909,0.4952843360121169,2.49,4.43
600201,9.990743801652894,1.8314472505466823,7.55,16.95
600219,2.8327272727272725,0.45858410229966207,2.18,4.38
600228,8.168636363636363,1.982085763824383,5.33,15.62
600232,5.20090909090909,0.39090488006521484,4.1,6.51
600237,7.254938016528925,0.68770163335764,5.37,9.8
600276,40.27956611570248,5.4770112463192,27.02,50.4
600284,6.049049586776859,0.4600611238756133,5.09,8.18
600302,5.34206611570248,0.4942026932725918,4.17,7.83
600327,4.827376033057851,0.4514227968725082,4.11,6.63
600331,3.616590909090909,0.7916723329861499,2.62,5.87
600343,10.091880165289258,0.9059881180688627,7.58,13.78
600355,3.6699586776859503,0.7841338130690748,2.53,7.57
600367,17.263512396694217,3.8297254140810106,11.74,27.85
600489,7.976611570247933,1.6906725253402524,5.56,11.35
600547,20.571818181818184,2.9478813671627684,15.99,26.68
600549,19.094297520661154,2.803013559144418,12.76,28.63
600550,5.099772727272727,0.43161278511333706,3.96,6.65
600578,2.9277272727272727,0.26715237856837665,2.23,3.76
600583,5.019421487603306,0.9725033735820268,3.35,6.65
600599,11.292954545454545,1.7729960110142562,8.02,15.8
600667,6.477561983471074,0.751524775974629,4.95,8.3
600693,3.9537809917355373,0.3155644349393647,3.38,6.35
600696,25.859194214876034,2.7614452159383878,16.75,35.8
600711,6.287148760330578,1.7077444262662929,3.88,10.84
600712,4.104586776859504,0.37872953512654245,3.57,7.17
600725,3.3460330578512396,0.4799382799153501,2.5,4.6
600783,12.591301652892561,0.9320316417809555,9.78,16.16
600808,3.029979338842975,0.44671216617258314,2.5,4.38
600819,5.131652892561983,0.6036608087499156,4.28,7.82
600829,6.667603305785124,0.7168521881805147,5.17,9.66
600858,5.567685950413224,0.43197032397606755,4.53,7.19
600863,3.127768595041322,0.29230642081447356,2.28,3.84
600875,16.683863636363636,3.106647009530042,9.75,24.35
600895,14.13452479338843,3.94588193510156,9.67,26.59
600963,6.1318595041322315,0.746787913171726,3.91,7.65
600988,16.79400826446281,2.3669332763107387,12.88,22.54
601038,10.853760330578513,1.1649862102084614,7.76,14.27
601137,15.010805785123965,2.2802786623431537,8.14,22.79
601138,11.470061983471075,5.07547688671913,6.39,25.49
601179,4.681859504132231,0.40244626313682824,3.42,5.8
601208,12.30935950413223,1.2975449835596553,9.32,16.65
601318,38.72911157024793,3.9730836931878164,28.76,47.53
601319,4.6457231404958685,0.6240747136696677,3.52,6.14
601339,4.680206611570248,0.4606175064454033,3.8,6.27
601600,4.916632231404959,0.731451958768244,3.4,6.81
601615,21.585888429752064,5.3324171543516075,11.12,34.36
601696,11.497954545454546,0.9989315979956378,9.9,14.95
601702,13.71535123966942,2.952761153073496,6.04,22.11
601717,10.611446280991736,1.1912809428900366,7.73,14.89
601857,4.784793388429752,1.3016737746487659,3.29,7.23
601958,8.684256198347107,2.0287936793670682,5.06,14.25
601991,2.7226239669421486,0.3749003112822817,1.99,3.85
603026,96.99254132231405,39.57260748152049,41.82,189.36
603033,14.745103305785124,1.5205463050858992,11.84,18.07
603076,37.01549586776859,6.568981596511265,22.01,55.88
603083,26.969111570247932,19.850589830036856,8.64,74.65
603090,23.809752066115703,4.07460005029592,17.86,35.01
603127,41.1196694214876,11.984239490421736,22.25,67.98
603186,28.97235537190083,5.979667085825124,17.87,42.45
603187,19.43435950413223,2.976116768120345,13.12,31.05
603203,25.162727272727274,3.905709204387079,14.48,33.95
603225,10.981239669421488,1.459434117197361,7.63,15.09
603226,5.386611570247934,0.4462033140443896,4.31,6.96
603256,7.582727272727273,0.7038777538319743,5.75,10.01
603268,18.358119834710745,3.5135166946023793,13.22,27.07
603279,25.12865702479339,2.6773547817698855,18.27,32.97
603301,33.81539256198347,6.6439663042021095,22.01,50.94
603311,12.136962809917355,1.4411280916934017,8.16,15.85
603324,31.34064049586777,3.8642967593066855,22.17,46.94
603331,12.648140495867768,1.1520575943575626,9.72,16.25
603366,5.884256198347107,1.3693275859874365,3.51,11.17
603389,5.554504132231405,0.5930228925780215,4.0,8.75
603398,26.66706611570248,6.891323322134521,16.02,53.14
603421,8.84785123966942,1.3202104459959703,5.62,11.48
603499,6.0075,0.7798856886560998,4.01,9.04
603516,16.12297520661157,3.709421811743423,9.3,24.06
603618,5.8967561983471075,0.4695313006616762,4.31,7.07
603677,11.765599173553719,1.2962217162029992,8.7,17.12
603680,8.237809917355372,0.8511301444550022,6.09,11.36
603690,31.36421487603306,3.5078690013964846,22.3,40.67
603696,9.285640495867769,0.8042324651907772,7.42,13.77
603698,13.69849173553719,1.4223852178668361,10.3,18.0
603700,14.001363636363637,1.3387663893056834,11.76,20.28
603757,19.534028925619833,5.426481544574982,9.21,30.25
603829,12.277045454545455,2.0606244782020915,8.09,20.29
603861,8.496157024793389,1.0864349472227146,6.46,12.21
603868,62.858636363636364,12.242137300033754,36.78,85.35
603876,21.040289256198346,6.220612925987024,11.49,39.04
603912,8.786673553719009,1.27196587745868,6.18,13.76
603928,8.626508264462808,0.6868736732440242,6.09,10.53
603929,11.731115702479338,4.137420105505652,5.93,28.08
603938,24.471921487603307,6.043966707992527,15.68,43.96
603978,20.50221074380165,3.5096907352278857,15.2,30.0
603988,10.398140495867768,1.2280772617218965,7.63,16.23
603992,14.528202479338843,1.4617380506402275,11.31,18.85
603993,4.874876033057851,0.5450459979486904,3.66,6.43
605006,8.606528925619836,1.172128329624257,6.61,11.47
605069,10.951570247933885,2.128079357735277,8.25,21.49
605116,23.585454545454546,2.1526282265113705,18.53,29.47
605255,14.978161157024793,1.411346114137787,10.83,22.29
605287,17.63357438016529,1.5215285413414372,14.87,24.44
605365,15.781446280991736,1.508010623499237,11.78,21.78
605589,21.997954545454547,4.124813534903441,14.78,37.82
688004,20.57925619834711,4.049133315295262,13.88,38.51
688005,54.666797520661156,21.531889861952163,24.17,103.76
688019,94.61435950413222,12.773803915146885,68.47,129.55
688027,125.90148760330578,23.59463336571202,75.35,176.74
688028,24.12727272727273,4.165313933622715,16.82,40.1
688091,52.506053719008264,16.116963811148224,22.56,96.99
688099,85.33971074380165,18.568864452042057,55.38,131.03
688112,48.342107438016534,9.798980684980636,26.69,73.88
688126,20.97064049586777,2.2243597266338466,16.43,27.35
688162,47.278553719008265,13.101043056447097,29.73,101.45
688177,25.908780991735537,5.86748269442079,17.3,44.99
688182,17.199028925619835,4.14289374957645,10.46,27.49
688192,36.49202479338843,8.441636925795954,19.6,54.36
688195,28.862169421487604,6.814140489069573,14.75,53.16
688200,165.76082644628102,26.275602837833368,112.45,227.24
688210,17.832066115702478,3.339971402998132,10.3,27.63
688218,18.144462809917357,5.007553623538136,9.15,39.84
688256,108.94710743801653,56.11897298308128,47.3,267.0
688268,75.7606611570248,13.00614228109497,46.19,121.3
688269,69.06378099173554,15.230803753676042,33.9,98.67
688300,30.75619834710744,5.492114091543572,17.86,49.35
688308,41.536983471074386,7.925511183997937,25.56,59.43
688377,30.4550826446281,6.576308141474494,18.31,45.32
688378,20.361921487603308,5.160055955090166,11.26,30.43
688379,18.18349173553719,1.9997379740193155,12.93,22.6
688388,40.213966942148765,18.75610663751042,18.73,97.19
688399,58.14111570247934,20.269578097931873,28.34,134.57
688488,11.677892561983471,1.51825677144676,8.53,16.74
688499,106.87305785123966,46.81565481286922,35.06,205.33
688513,35.883780991735534,2.9291808013943057,28.47,43.26
688518,29.899834710743804,6.501031991141749,18.42,46.66
688559,56.49055785123967,15.332975651785928,32.84,104.8
688578,24.052107438016527,6.562049377278498,14.07,46.1
688626,38.5099173553719,7.935842713856983,25.04,62.75
688630,71.61776859504133,12.899820563863717,39.93,104.8
688661,39.10417355371901,8.552594193080512,24.28,66.0
688667,104.32880165289257,28.955075065693638,64.57,193.47
688668,44.585867768595044,9.5949668413399,29.37,77.69
688683,23.173491735537187,1.9844124449026097,17.67,30.74
688689,27.326280991735537,4.059240386716889,21.36,40.57
688700,52.6975,16.77650303208352,25.58,92.98
688778,47.69927685950413,13.709717839696811,29.78,96.37
688788,30.587871900826446,8.29699338245642,22.55,66.24
920174,10.4350826446281,3.4015706689601575,6.59,20.45
920225,6.500392561983471,3.2540952460585357,2.93,20.45
920445,6.802272727272728,2.5647813381708393,2.97,13.91
920509,8.739752066115702,1.1636901132184403,6.17,13.57
